Song Name,Artist,Album
Prologue,Lena Raine,Celeste (Original Soundtrack)
First Steps,Lena Raine,Celeste (Original Soundtrack)
Resurrections,Lena Raine,Celeste (Original Soundtrack)
Awake,Lena Raine,Celeste (Original Soundtrack)
Postcard from Celeste Mountain,Lena Raine,Celeste (Original Soundtrack)
Checking In,Lena Raine,Celeste (Original Soundtrack)
Spirit of Hospitality,Lena Raine,Celeste (Original Soundtrack)
Scattered and Lost,Lena Raine,Celeste (Original Soundtrack)
Golden,Lena Raine,Celeste (Original Soundtrack)
Anxiety,Lena Raine,Celeste (Original Soundtrack)
Quiet and Falling,Lena Raine,Celeste (Original Soundtrack)
In the Mirror,Lena Raine,Celeste (Original Soundtrack)
Madeline and Theo,Lena Raine,Celeste (Original Soundtrack)
Starjump,Lena Raine,Celeste (Original Soundtrack)
Reflection,Lena Raine,Celeste (Original Soundtrack)
Confronting Myself,Lena Raine,Celeste (Original Soundtrack)
Little Goth,Lena Raine,Celeste (Original Soundtrack)
Reach for the Summit,Lena Raine,Celeste (Original Soundtrack)
Exhale,Lena Raine,Celeste (Original Soundtrack)
Heart of the Mountain,Lena Raine,Celeste (Original Soundtrack)
My Dearest Friends,Lena Raine,Celeste (Original Soundtrack)
